date,min,max,mean,SD
1/4/2019,1.62E-05,1.10E-04,4.67E-05,1.95E-05
2/4/2019,2.98E-05,0.000458946,0.000128925,7.94E-05
3/4/2019,1.99E-05,1.54E-03,2.52E-04,0.000275292
4/4/2019,3.35E-05,0.00027241,0.000104624,5.49E-05
5/4/2019,2.88E-05,3.89E-04,7.74E-05,6.95E-05
6/4/2019,Low quality,,,
7/4/2019,2.50E-05,0.000364288,0.000129132,7.89E-05
8/4/2019,5.29E-05,5.22E-04,2.77E-04,9.10E-05
9/4/2019,6.75E-05,0.000259256,0.000154995,4.42E-05
10/4/2019,8.25E-05,0.000235837,0.000152284,3.43E-05
11/4/2019,3.41E-05,0.000180669,8.20E-05,3.30E-05
12/4/2019,1.45E-05,0.000155048,3.63E-05,1.75E-05
13/4/2019,1.97E-05,0.001037689,0.00014786,0.000126932
14/4/2019,2.19E-05,2.00E-04,1.09E-04,3.74E-05
15/4/2019,Low quality,,,
16/4/2019,3.13E-05,0.000140646,7.93E-05,3.16E-05
17/4/2019,3.40E-05,0.00013268,8.11E-05,2.14E-05
18/4/2019,7.87E-05,0.000457136,0.000225339,9.11E-05
19/4/2019,3.10E-05,0.000202211,7.79E-05,3.13E-05
20/4/2019,6.09E-05,0.000207874,0.00013237,3.61E-05
21/4/2019,4.91E-05,0.000160204,9.59E-05,2.53E-05
22/4/2019,6.41E-05,0.000279522,0.000145499,5.66E-05
23/4/2019,1.56E-05,2.21E-04,7.60E-05,4.58E-05
24/4/2019,2.04E-05,0.000144668,5.19E-05,2.37E-05
25/4/2019,1.12E-05,0.000142301,4.11E-05,2.48E-05
26/4/2019,2.43E-05,9.39E-05,4.61E-05,1.30E-05
27/4/2019,2.98E-05,2.43E-04,1.06E-04,4.74E-05
28/4/2019,2.61E-05,0.000839066,0.000257827,0.000172737
29/4/2019,3.18E-05,1.80E-04,8.84E-05,3.39E-05
30/4/2019,1.80E-05,0.000344643,0.000107832,7.46E-05
1/4/2020,3.32E-05,4.68E-04,1.28E-04,7.38E-05
2/4/2020,6.81E-05,0.000327539,0.000164595,5.91E-05
3/4/2020,1.33E-05,1.84E-04,4.74E-05,2.59E-05
4/4/2020,1.60E-05,0.000234459,7.46E-05,4.55E-05
5/4/2020,4.66E-05,2.05E-04,1.21E-04,3.67E-05
6/4/2020,1.71E-05,2.70E-04,8.58E-05,4.44E-05
7/4/2020,6.83E-05,0.000268362,0.000126894,4.76E-05
8/4/2020,4.56E-05,3.06E-04,1.33E-04,5.78E-05
9/4/2020,2.97E-05,0.000171586,9.95E-05,2.85E-05
10/4/2020,1.46E-05,0.000125165,4.73E-05,1.77E-05
11/4/2020,7.54E-05,0.000308661,0.000179265,6.19E-05
12/4/2020,2.18E-05,0.000277901,0.000121355,5.11E-05
13/4/2020,2.92E-05,0.000307481,0.000110853,5.86E-05
14/4/2020,3.43E-05,2.23E-04,8.96E-05,3.93E-05
15/4/2020,2.70E-05,0.000451796,0.00013693,9.30E-05
16/4/2020,3.23E-05,0.000365097,0.000172436,9.01E-05
17/4/2020,2.59E-05,8.93E-05,4.03E-05,1.34E-05
18/4/2020,2.97E-05,0.000147383,6.93E-05,2.40E-05
19/4/2020,1.85E-05,0.0001496,6.00E-05,2.49E-05
20/4/2020,1.20E-05,0.000149618,5.25E-05,2.23E-05
21/4/2020,4.49E-05,0.000821551,0.000220195,0.000146748
22/4/2020,2.67E-05,0.000213591,8.62E-05,4.44E-05
23/4/2020,6.48E-05,0.000431895,0.000226997,8.10E-05
24/4/2020,2.14E-05,9.15E-05,4.33E-05,1.36E-05
25/4/2020,1.52E-05,9.27E-05,4.30E-05,1.53E-05
26/4/2020,8.57E-05,0.000386783,0.000187475,6.29E-05
27/4/2020,3.82E-05,0.000270488,0.000109751,4.32E-05
28/4/2020,4.10E-05,0.00020502,9.43E-05,3.45E-05
29/4/2020,4.60E-05,3.03E-04,1.22E-04,6.07E-05
30/4/2020,1.84E-05,0.000379092,8.68E-05,7.01E-05
